userName,score,at,content
Alex Alex,5,2026-05-07 13:45:24,mantap
Dewi Dewi,5,2026-05-07 13:28:03,good
Refandhi Tegar,5,2026-05-07 13:17:08,sangat baikk awww
Ardi Gimun,4,2026-05-07 13:11:30,nice
Ipan Susanto,1,2026-05-07 13:10:48,scan wajah aja susah nya mntak ampun sistem nya abal abal
Virzha Arif,3,2026-05-07 12:52:02,notifikasi transaksi kadang tidak masuk
Rahayu Ayu,1,2026-05-07 12:43:16,"susah sekali mau verifikasi wajah. nyoba berhari2 gagal terus. gimana sih, ribet banget👎🏻👎🏻👎🏻"
Nadia Syafitri,3,2026-05-07 12:37:09,kenapa wondr ketika di buka menggungakan data seluler sangat lama sekali bahkan hampir tidak bisa di buka. padahal jaringan bagus bagus saja ketika buka mbanking yg lain pun bisa.
Ahmad Suhaeri,5,2026-05-07 12:34:53,napa sya g bisa Download aplikasi ini ka
Wahyu,5,2026-05-07 12:28:44,baik
Surya Saputra,5,2026-05-07 12:27:01,mudah dan cepat
Triasroro Cahyani,1,2026-05-07 12:14:41,aplikasi yg harus selalu update dan ribet
Nina Marco,5,2026-05-07 12:05:02,TOP
Adhe Chaniagho,5,2026-05-07 12:03:28,Mantap
Julie Ajha,4,2026-05-07 11:51:00,mantap
Djaelani Abdul,5,2026-05-07 11:50:13,good
Ryan Yan,5,2026-05-07 11:50:02,cukup baik
Alfred,5,2026-05-07 11:35:45,Keren
Gus Anto,5,2026-05-07 11:31:32,wonder by BNI sangat membantu masyarakat Indonesia
Hery Setyawan,5,2026-05-07 11:31:11,aplikasi ini lebih memudahkan dlm bertransaksi
Agus Nugraha,5,2026-05-07 11:17:55,bagus
Jambi Kumpeh,4,2026-05-07 11:16:45,sangan baik
Bimbo hito Hito,5,2026-05-07 11:07:47,jos
Asep Syamsuddin,1,2026-05-07 10:57:29,mantap
boby Handika,5,2026-05-07 10:33:43,wonder boy BNI semoga makin sukses.. sangat membantu untuk transaksi sehari-hari 🔥🔥🔥
10.Komang Sudana merta,1,2026-05-07 10:31:13,apk busuk gak bisa di baca rek ku sama all bnk
Agung Triwidodo,5,2026-05-07 10:27:22,mantap
ibukvika vika,5,2026-05-07 10:23:33,saat ini sangat membatu memudahkan saya mengecek saldo dan transfer uang
Muhammad Robin,5,2026-05-07 10:22:22,BAGUS SI. TP LEBIH BAGUS ADA PINJAMAN BAGI PENGGUNA APLIKASI WONDR BY BNI.. DAN JANGKA LIMIT NYA 3/4 TAHUN.
EKA ADIYANTO,5,2026-05-07 10:20:24,bagus
Cok Gede,5,2026-05-07 10:16:50,bagus
adhi kuncoro,5,2026-05-07 10:12:41,saya topup di wonder pemberitahuan nya tidak berhasil tapi uangnya kepotong kalo setiap transaksi seperti ini gimana dong?
Ahmad Dimyati,5,2026-05-07 10:12:34,keren
